=== Testing with beta toolchain ===
    Updating git repository `https://github.com/nushell/reedline`
    Updating crates.io index
 Downloading crates ...
  Downloaded adler2 v2.0.1
  Downloaded alloc-stdlib v0.2.2
  Downloaded bitflags v2.11.0
  Downloaded bracoxide v0.1.8
  Downloaded doctest-file v1.0.0
  Downloaded equivalent v1.0.2
  Downloaded errno v0.3.14
  Downloaded human-date-parser v0.3.1
  Downloaded libloading v0.8.9
  Downloaded itertools v0.14.0
  Downloaded lscolors v0.21.0
  Downloaded miette-derive v7.6.0
  Downloaded jiff v0.2.23
  Downloaded openssl-probe v0.2.1
  Downloaded pest_consume v1.1.3
  Downloaded predicates-core v1.0.10
  Downloaded predicates-tree v1.0.13
  Downloaded pwd v1.4.0
  Downloaded ratatui-macros v0.7.0
  Downloaded rand_core v0.10.0
  Downloaded rayon-core v1.13.0
  Downloaded procfs-core v0.18.0
  Downloaded rmcp-macros v1.2.0
  Downloaded rustc_version v0.4.1
  Downloaded quinn-proto v0.11.14
  Downloaded serde_spanned v1.0.4
  Downloaded signal-hook v0.3.18
  Downloaded strsim v0.11.1
  Downloaded supports-color v3.0.2
  Downloaded print-positions v0.6.1
  Downloaded phf v0.11.3
  Downloaded quickcheck_macros v1.2.0
  Downloaded thiserror-impl v2.0.18
  Downloaded tinyvec v1.10.0
  Downloaded tinystr v0.8.2
  Downloaded tiff v0.11.3
  Downloaded tokio-macros v2.6.1
  Downloaded os_pipe v1.2.3
  Downloaded getrandom v0.2.17
  Downloaded rand_core v0.9.5
  Downloaded serde_urlencoded v0.7.1
  Downloaded scroll_derive v0.11.1
  Downloaded sha1_smol v1.0.1
  Downloaded stable_deref_trait v1.2.1
  Downloaded relative-path v1.9.3
  Downloaded quinn-udp v0.5.14
  Downloaded ratatui-crossterm v0.1.0
  Downloaded rayon v1.11.0
  Downloaded testing_table v0.3.0
  Downloaded tower-http v0.6.8
  Downloaded tower-service v0.3.3
  Downloaded rand v0.9.2
  Downloaded linux-raw-sys v0.4.15
  Downloaded unic-langid v0.9.6
  Downloaded typetag v0.2.21
  Downloaded wayland-sys v0.31.10
  Downloaded untrusted v0.9.0
  Downloaded which v8.0.2
  Downloaded writeable v0.6.2
  Downloaded walkdir v2.5.0
  Downloaded wl-clipboard-rs v0.9.3
  Downloaded weezl v0.1.12
  Downloaded wayland-backend v0.3.14
  Downloaded unicode-segmentation v1.12.0
  Downloaded wax v0.7.0
  Downloaded uucore_procs v0.7.0
  Downloaded uu_uname v0.7.0
  Downloaded vcpkg v0.2.15
  Downloaded webpki-roots v1.0.6
  Downloaded rustix v1.1.3
  Downloaded uu_mv v0.7.0
  Downloaded tracing v0.1.44
  Downloaded zerovec-derive v0.11.2
  Downloaded zune-core v0.5.1
  Downloaded wayland-protocols-wlr v0.3.11
  Downloaded zopfli v0.8.3
  Downloaded zune-jpeg v0.5.13
  Downloaded uu_touch v0.7.0
  Downloaded zerovec v0.11.5
  Downloaded zlib-rs v0.6.3
  Downloaded yaml-rust v0.4.5
  Downloaded textwrap v0.16.2
  Downloaded zip v7.2.0
  Downloaded wayland-client v0.31.13
  Downloaded tokio v1.50.0
  Downloaded zerocopy-derive v0.8.42
  Downloaded regex v1.12.3
  Downloaded tokio-util v0.7.18
  Downloaded wayland-protocols v0.32.11
  Downloaded zerocopy v0.7.35
  Downloaded winnow v0.7.15
  Downloaded quick-xml v0.39.2
  Downloaded x11rb v0.13.2
  Downloaded uucore v0.7.0
  Downloaded gimli v0.32.3
  Downloaded zerocopy v0.8.42
  Downloaded unicode-width v0.2.2
  Downloaded syn v2.0.117
  Downloaded image v0.25.10
  Downloaded rusqlite v0.37.0
  Downloaded rustls v0.23.37
  Downloaded ring v0.17.14
  Downloaded portable-atomic v1.13.1
  Downloaded rust_decimal v1.40.0
  Downloaded reqwest v0.12.28
  Downloaded hyper v1.8.1
  Downloaded h2 v0.4.13
  Downloaded goblin v0.7.1
  Downloaded x11rb-protocol v0.13.2
  Downloaded iri-string v0.7.10
  Downloaded icu_properties_data v2.1.2
  Downloaded regex-automata v0.4.14
  Downloaded futures-util v0.3.32
  Downloaded yansi v1.0.1
  Downloaded typed-path v0.12.3
  Downloaded interprocess v2.4.0
  Downloaded idna v1.1.0
  Downloaded hashbrown v0.16.1
  Downloaded schemars v1.2.1
  Downloaded hyper-util v0.1.20
  Downloaded http v1.4.0
  Downloaded petgraph v0.8.3
  Downloaded heapless v0.9.2
  Downloaded fancy-regex v0.17.0
  Downloaded vte v0.14.1
