Running tests...

 RUN  v3.2.4 /app

 ✓ tests/corepackUtils.test.ts (4 tests) 6ms
 ✓ tests/npmRegistryUtils.test.ts (7 tests) 7ms
 ✓ tests/config.test.ts (1 test) 84ms
 ✓ tests/Disable.test.ts (4 tests) 1186ms
   ✓ DisableCommand > should remove binaries only for the requested package managers  309ms
   ✓ DisableCommand > shouldn't remove Yarn binaries if they are in a /switch/ folder  314ms
 ✓ tests/Enable.test.ts (7 tests) 2667ms
   ✓ EnableCommand > should overwrite existing files  365ms
   ✓ EnableCommand > shouldn't overwrite Yarn files if they are in a /switch/ folder  359ms
   ✓ EnableCommand > should not re-link if binaries are already correct  764ms
   ✓ EnableCommand > should overwrite existing symlinks if they are incorrect  339ms
 ✓ tests/Up.test.ts (4 tests) 5794ms
   ✓ UpCommand > should update the "packageManager" field from the current project > to the same major if no devEngines range  1325ms
   ✓ UpCommand > should update the "packageManager" field from the current project > to whichever range devEngines defines  1463ms
   ✓ UpCommand > should update the "packageManager" field from the current project > to whichever range devEngines defines even if onFail is set to ignore  1582ms
   ✓ UpCommand > should update the "packageManager" field from the current project > should succeed even if no 'packageManager' field  1419ms
 ✓ tests/Use.test.ts (8 tests) 13866ms
   ✓ UseCommand > should set the package manager in the current project > With an existing 'packageManager' field  1209ms
   ✓ UseCommand > should set the package manager in the current project > with 'devEngines.packageManager' field  1938ms
   ✓ UseCommand > should set the package manager in the current project > with 'devEngines.packageManager' and 'packageManager' fields  2188ms
   ✓ UseCommand > should create a package.json if absent  2998ms
   ✓ UseCommand > should not care if packageManager is set to an invalid value > when a version range is given  1490ms
   ✓ UseCommand > should not care if packageManager is set to an invalid value > when only the pm name is given  1220ms
   ✓ UseCommand > should not care if packageManager is set to an invalid value > when the version is missing  1313ms
   ✓ UseCommand > should not care if packageManager is set to an invalid value > when the field is not a string  1503ms
 ✓ tests/main.test.ts (114 tests) 156379ms
   ✓ should refuse to download a package manager if the hash doesn't match > the one defined in "devEngines.packageManager" field  398ms
   ✓ should refuse to download a package manager if the hash doesn't match > the one defined in "packageManager" field  347ms
   ✓ should refuse to download a known package manager from a URL  984ms
   ✓ should refuse to download a known package manager from a URL in package.json  2188ms (retry x2)
   ✓ should require a version to be specified  1052ms
   ✓ should use the right package manager version for a given project (yarn@1.22.4)  1752ms
   ✓ should use the right package manager version for a given project (yarn@1.22.4+sha1.01c1197ca5b27f21edc8bc472cd4c8ce0e5a470e)  1846ms
   ✓ should use the right package manager version for a given project (yarn@1.22.4+sha224.0d6eecaf4d82ec12566fdd97143794d0f0c317e0d652bd4d1b305430)  1767ms
   ✓ should use the right package manager version for a given project (yarn@https://registry.npmjs.com/yarn/-/yarn-1.22.21.tgz)  1454ms
   ✓ should use the right package manager version for a given project (yarn@https://registry.npmjs.com/yarn/-/yarn-1.22.21.tgz#sha1.1959a18351b811cdeedbd484a8f86c3cc3bbaf72)  1543ms
   ✓ should use the right package manager version for a given project (yarn@2.0.0-rc.30)  2077ms
   ✓ should use the right package manager version for a given project (yarn@2.0.0-rc.30+sha1.4f0423b01bcb57f8e390b4e0f1990831f92dd1da)  1872ms
   ✓ should use the right package manager version for a given project (yarn@2.0.0-rc.30+sha224.0e7a64468c358596db21c401ffeb11b6534fce7367afd3ae640eadf1)  1990ms
   ✓ should use the right package manager version for a given project (yarn@3.0.0-rc.2)  1741ms
   ✓ should use the right package manager version for a given project (yarn@3.0.0-rc.2+sha1.694bdad81703169e203febd57f9dc97d3be867bd)  1809ms
   ✓ should use the right package manager version for a given project (yarn@3.0.0-rc.2+sha224.f83f6d1cbfac10ba6b516a62ccd2a72ccd857aa6c514d1cd7185ec60)  1944ms
   ✓ should use the right package manager version for a given project (pnpm@4.11.6)  5160ms
   ✓ should use the right package manager version for a given project (pnpm@4.11.6+sha1.7cffc04295f4db4740225c6c37cc345eb923c06a)  5263ms
   ✓ should use the right package manager version for a given project (pnpm@4.11.6+sha224.7783c4b01916b7a69e6ff05d328df6f83cb7f127e9c96be88739386d)  4776ms
   ✓ should use the right package manager version for a given project (pnpm@6.6.2)  1602ms
   ✓ should use the right package manager version for a given project (pnpm@6.6.2+sha1.7b4d6b176c1b93b5670ed94c24babb7d80c13854)  1533ms
   ✓ should use the right package manager version for a given project (pnpm@6.6.2+sha224.eb5c0acad3b0f40ecdaa2db9aa5a73134ad256e17e22d1419a2ab073)  1696ms
   ✓ should use the right package manager version for a given project (pnpm@11.0.0-dev.1005)  2794ms
   ✓ should use the right package manager version for a given project (pnpm@11.0.0-dev.1005+sha1.17cdd7ae1baf19f24440422f946130fccbb4257a)  3024ms
   ✓ should use the right package manager version for a given project (npm@6.14.2)  3086ms
