Error from docker build

#1 [internal] load build definition from Dockerfile
#1 transferring dockerfile: 1.08kB done
#1 DONE 0.0s

#2 [internal] load .dockerignore
#2 transferring context: 2B done
#2 DONE 0.0s

#3 [internal] load metadata for docker.io/library/ubuntu:24.04
#3 DONE 0.0s

#4 [1/8] FROM docker.io/library/ubuntu:24.04
#4 DONE 0.0s

#5 [2/8] RUN ln -snf /usr/share/zoneinfo/America/Los_Angeles /etc/localtime && echo America/Los_Angeles > /etc/timezone
#5 CACHED

#6 [internal] load build context
#6 transferring context: 448.18MB 5.0s
#6 transferring context: 561.44MB 7.1s done
#6 DONE 7.2s

#7 [3/8] RUN apt-get update && apt-get install -y --no-install-recommends     git     build-essential     cmake     ninja-build     clang     g++     make     curl     wget     pkg-config     python3     python3-dev     openjdk-11-jdk     ca-certificates     && rm -rf /var/lib/apt/lists/*
#0 0.490 Get:1 http://security.ubuntu.com/ubuntu noble-security InRelease [126 kB]
#0 0.653 Get:2 http://archive.ubuntu.com/ubuntu noble InRelease [256 kB]
#0 1.071 Get:3 http://security.ubuntu.com/ubuntu noble-security/multiverse amd64 Packages [34.2 kB]
#0 1.097 Get:4 http://security.ubuntu.com/ubuntu noble-security/main amd64 Packages [2038 kB]
#0 1.124 Get:5 http://security.ubuntu.com/ubuntu noble-security/universe amd64 Packages [1504 kB]
#0 1.138 Get:6 http://security.ubuntu.com/ubuntu noble-security/restricted amd64 Packages [3610 kB]
#0 1.374 Get:7 http://archive.ubuntu.com/ubuntu noble-updates InRelease [126 kB]
#0 1.599 Get:8 http://archive.ubuntu.com/ubuntu noble-backports InRelease [126 kB]
#0 1.660 Get:9 http://archive.ubuntu.com/ubuntu noble/universe amd64 Packages [19.3 MB]
#0 1.887 Get:10 http://archive.ubuntu.com/ubuntu noble/restricted amd64 Packages [117 kB]
#0 1.890 Get:11 http://archive.ubuntu.com/ubuntu noble/multiverse amd64 Packages [331 kB]
#0 1.897 Get:12 http://archive.ubuntu.com/ubuntu noble/main amd64 Packages [1808 kB]
#0 1.917 Get:13 http://archive.ubuntu.com/ubuntu noble-updates/multiverse amd64 Packages [54.1 kB]
#0 1.923 Get:14 http://archive.ubuntu.com/ubuntu noble-updates/universe amd64 Packages [2147 kB]
#0 1.945 Get:15 http://archive.ubuntu.com/ubuntu noble-updates/restricted amd64 Packages [3824 kB]
#0 1.982 Get:16 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 Packages [2412 kB]
#0 2.006 Get:17 http://archive.ubuntu.com/ubuntu noble-backports/main amd64 Packages [49.0 kB]
#0 2.012 Get:18 http://archive.ubuntu.com/ubuntu noble-backports/universe amd64 Packages [35.9 kB]
#0 2.019 Get:19 http://archive.ubuntu.com/ubuntu noble-backports/multiverse amd64 Packages [671 B]
#0 3.373 Fetched 37.9 MB in 3s (12.5 MB/s)
#0 3.373 Reading package lists...
#0 4.620 Reading package lists...
#0 5.810 Building dependency tree...
#0 5.999 Reading state information...
#0 6.220 The following additional packages will be installed:
#0 6.220   binutils binutils-common binutils-x86-64-linux-gnu bzip2
#0 6.220   ca-certificates-java clang-18 cmake-data cpp cpp-13 cpp-13-x86-64-linux-gnu
#0 6.220   cpp-x86-64-linux-gnu dpkg dpkg-dev fontconfig-config fonts-dejavu-core
#0 6.220   fonts-dejavu-mono g++-13 g++-13-x86-64-linux-gnu g++-x86-64-linux-gnu gcc
#0 6.220   gcc-13 gcc-13-base gcc-13-x86-64-linux-gnu gcc-x86-64-linux-gnu git-man
#0 6.220   java-common libarchive13t64 libasan8 libasound2-data libasound2t64
#0 6.220   libatomic1 libavahi-client3 libavahi-common-data libavahi-common3
#0 6.220   libbinutils libbrotli1 libbsd0 libc-dev-bin libc6-dev libcc1-0
#0 6.220   libclang-common-18-dev libclang-cpp18 libclang1-18 libcrypt-dev
#0 6.220   libctf-nobfd0 libctf0 libcups2t64 libcurl3t64-gnutls libcurl4t64 libdbus-1-3
#0 6.220   libdpkg-perl libdrm-amdgpu1 libdrm-common libdrm-intel1 libdrm2 libedit2
#0 6.220   libelf1t64 liberror-perl libexpat1 libexpat1-dev libfontconfig1 libfreetype6
#0 6.220   libgbm1 libgc1 libgcc-13-dev libgdbm-compat4t64 libgdbm6t64 libgif7 libgl1
#0 6.220   libgl1-mesa-dri libglib2.0-0t64 libglvnd0 libglx-mesa0 libglx0 libgomp1
#0 6.220   libgprofng0 libgraphite2-3 libgssapi-krb5-2 libharfbuzz0b libhwasan0
#0 6.220   libicu74 libisl23 libitm1 libjansson4 libjpeg-turbo8 libjpeg8 libjs-jquery
#0 6.220   libjs-sphinxdoc libjs-underscore libjsoncpp25 libk5crypto3 libkeyutils1
#0 6.220   libkrb5-3 libkrb5support0 liblcms2-2 libldap2 libllvm18 libllvm20 liblsan0
