Error from docker build

#1 [internal] load .dockerignore
#1 transferring context: 2B done
#1 DONE 0.1s

#2 [internal] load build definition from Dockerfile
#2 transferring dockerfile: 1.54kB done
#2 DONE 0.1s

#3 [internal] load metadata for docker.io/library/ubuntu:24.04
#3 DONE 0.5s

#4 [1/9] FROM docker.io/library/ubuntu:24.04@sha256:c4a8d5503dfb2a3eb8ab5f807da5bc69a85730fb49b5cfca2330194ebcc41c7b
#4 DONE 0.0s

#5 [2/9] RUN ln -snf /usr/share/zoneinfo/America/Los_Angeles /etc/localtime && echo America/Los_Angeles > /etc/timezone
#5 CACHED

#6 [internal] load build context
#6 transferring context: 76.62MB 1.2s done
#6 DONE 1.2s

#7 [3/9] RUN apt-get update && apt-get install -y --no-install-recommends     build-essential     cmake     git     curl     wget     libpng-dev     locales     ca-certificates     && rm -rf /var/lib/apt/lists/*
#7 3.182 Get:1 http://security.ubuntu.com/ubuntu noble-security InRelease [126 kB]
#7 3.331 Get:2 http://archive.ubuntu.com/ubuntu noble InRelease [256 kB]
#7 3.455 Get:3 http://security.ubuntu.com/ubuntu noble-security/universe amd64 Packages [1511 kB]
#7 3.581 Get:4 http://security.ubuntu.com/ubuntu noble-security/main amd64 Packages [2081 kB]
#7 3.620 Get:5 http://security.ubuntu.com/ubuntu noble-security/multiverse amd64 Packages [48.4 kB]
#7 3.620 Get:6 http://security.ubuntu.com/ubuntu noble-security/restricted amd64 Packages [3683 kB]
#7 4.120 Get:7 http://archive.ubuntu.com/ubuntu noble-updates InRelease [126 kB]
#7 4.319 Get:8 http://archive.ubuntu.com/ubuntu noble-backports InRelease [126 kB]
#7 4.410 Get:9 http://archive.ubuntu.com/ubuntu noble/restricted amd64 Packages [117 kB]
#7 4.420 Get:10 http://archive.ubuntu.com/ubuntu noble/multiverse amd64 Packages [331 kB]
#7 4.436 Get:11 http://archive.ubuntu.com/ubuntu noble/main amd64 Packages [1808 kB]
#7 4.547 Get:12 http://archive.ubuntu.com/ubuntu noble/universe amd64 Packages [19.3 MB]
#7 4.712 Get:13 http://archive.ubuntu.com/ubuntu noble-updates/restricted amd64 Packages [4013 kB]
#7 4.744 Get:14 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 Packages [2507 kB]
#7 4.764 Get:15 http://archive.ubuntu.com/ubuntu noble-updates/universe amd64 Packages [2154 kB]
#7 4.782 Get:16 http://archive.ubuntu.com/ubuntu noble-updates/multiverse amd64 Packages [54.6 kB]
#7 4.785 Get:17 http://archive.ubuntu.com/ubuntu noble-backports/multiverse amd64 Packages [671 B]
#7 4.793 Get:18 http://archive.ubuntu.com/ubuntu noble-backports/universe amd64 Packages [35.9 kB]
#7 4.799 Get:19 http://archive.ubuntu.com/ubuntu noble-backports/main amd64 Packages [49.0 kB]
#7 6.386 Fetched 38.3 MB in 3s (11.4 MB/s)
#7 6.386 Reading package lists...
#7 7.797 Reading package lists...
#7 9.238 Building dependency tree...
#7 9.628 Reading state information...
