Downloading Go dependencies...
go: downloading go1.26.2 (linux/amd64)
Running unit and integration tests...
ok  	github.com/cli/cli/v2/api	1.326s
# github.com/cli/cli/v2/pkg/cmd/codespace [github.com/cli/cli/v2/pkg/cmd/codespace.test]
pkg/cmd/codespace/select_test.go:48:26: undefined: testSelectApiMock
ok  	github.com/cli/cli/v2/cmd/gen-docs	1.963s
?   	github.com/cli/cli/v2/cmd/gh	[no test files]
ok  	github.com/cli/cli/v2/context	1.036s
ok  	github.com/cli/cli/v2/git	53.005s
ok  	github.com/cli/cli/v2/internal/agents	1.036s
ok  	github.com/cli/cli/v2/internal/authflow	1.038s
?   	github.com/cli/cli/v2/internal/barista/observability	[no test files]
?   	github.com/cli/cli/v2/internal/browser	[no test files]
?   	github.com/cli/cli/v2/internal/build	[no test files]
ok  	github.com/cli/cli/v2/internal/ci	1.037s
ok  	github.com/cli/cli/v2/internal/codespaces	1.079s
ok  	github.com/cli/cli/v2/internal/codespaces/api	2.365s
ok  	github.com/cli/cli/v2/internal/codespaces/connection	1.160s
ok  	github.com/cli/cli/v2/internal/codespaces/portforwarder	1.651s
ok  	github.com/cli/cli/v2/internal/codespaces/rpc	1.126s
?   	github.com/cli/cli/v2/internal/codespaces/rpc/codespace	[no test files]
?   	github.com/cli/cli/v2/internal/codespaces/rpc/jupyter	[no test files]
?   	github.com/cli/cli/v2/internal/codespaces/rpc/ssh	[no test files]
?   	github.com/cli/cli/v2/internal/codespaces/rpc/test	[no test files]
ok  	github.com/cli/cli/v2/internal/config	1.182s
ok  	github.com/cli/cli/v2/internal/config/migration	1.041s
ok  	github.com/cli/cli/v2/internal/docs	1.320s
ok  	github.com/cli/cli/v2/internal/featuredetection	1.078s
ok  	github.com/cli/cli/v2/internal/flock	1.038s
?   	github.com/cli/cli/v2/internal/gh	[no test files]
?   	github.com/cli/cli/v2/internal/gh/ghtelemetry	[no test files]
?   	github.com/cli/cli/v2/internal/gh/mock	[no test files]
ok  	github.com/cli/cli/v2/internal/ghcmd	1.373s
ok  	github.com/cli/cli/v2/internal/ghinstance	1.038s
ok  	github.com/cli/cli/v2/internal/ghrepo	1.032s
?   	github.com/cli/cli/v2/internal/keyring	[no test files]
ok  	github.com/cli/cli/v2/internal/licenses	1.041s
ok  	github.com/cli/cli/v2/internal/prompter	4.912s
?   	github.com/cli/cli/v2/internal/run	[no test files]
ok  	github.com/cli/cli/v2/internal/safepaths	1.038s
ok  	github.com/cli/cli/v2/internal/skills/discovery	1.123s
ok  	github.com/cli/cli/v2/internal/skills/frontmatter	1.048s
ok  	github.com/cli/cli/v2/internal/skills/installer	1.085s
ok  	github.com/cli/cli/v2/internal/skills/lockfile	1.048s
ok  	github.com/cli/cli/v2/internal/skills/registry	1.039s
ok  	github.com/cli/cli/v2/internal/skills/source	1.037s
ok  	github.com/cli/cli/v2/internal/tableprinter	1.044s
ok  	github.com/cli/cli/v2/internal/telemetry	1.100s
ok  	github.com/cli/cli/v2/internal/text	1.045s
ok  	github.com/cli/cli/v2/internal/update	1.297s
ok  	github.com/cli/cli/v2/internal/zip	1.050s
?   	github.com/cli/cli/v2/pkg/cmd/accessibility	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/actions	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task	1.261s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/capi	1.112s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/create	1.280s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/list	1.230s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/shared	1.487s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/view	1.237s
?   	github.com/cli/cli/v2/pkg/cmd/alias	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/alias/delete	1.049s
ok  	github.com/cli/cli/v2/pkg/cmd/alias/imports	1.068s
