Error from docker build

#1 [internal] load .dockerignore
#1 transferring context: 2B done
#1 DONE 0.1s

#2 [internal] load build definition from Dockerfile
#2 transferring dockerfile: 706B done
#2 DONE 0.1s

#3 [internal] load metadata for docker.io/library/ubuntu:22.04
#3 DONE 0.5s

#4 [1/8] FROM docker.io/library/ubuntu:22.04@sha256:962f6cadeae0ea6284001009daa4cc9a8c37e75d1f5191cf0eb83fe565b63dd7
#4 DONE 0.0s

#5 [2/8] RUN ln -snf /usr/share/zoneinfo/America/Los_Angeles /etc/localtime && echo America/Los_Angeles > /etc/timezone
#5 CACHED

#6 [internal] load build context
#6 transferring context: 78.86MB 2.0s done
#6 DONE 2.0s

#7 [3/8] RUN apt-get update &&     apt-get install -y git curl wget &&     curl -fsSL https://deb.nodesource.com/setup_14.x | bash - &&     apt-get install -y nodejs &&     apt-get clean
#0 1.270 Get:1 http://security.ubuntu.com/ubuntu jammy-security InRelease [129 kB]
#0 1.495 Get:2 http://archive.ubuntu.com/ubuntu jammy InRelease [270 kB]
#0 1.738 Get:3 http://security.ubuntu.com/ubuntu jammy-security/universe amd64 Packages [1293 kB]
#0 2.014 Get:4 http://security.ubuntu.com/ubuntu jammy-security/main amd64 Packages [3913 kB]
#7 2.295 Get:5 http://archive.ubuntu.com/ubuntu jammy-updates InRelease [128 kB]
#7 2.303 Get:6 http://security.ubuntu.com/ubuntu jammy-security/multiverse amd64 Packages [61.6 kB]
#7 2.445 Get:7 http://security.ubuntu.com/ubuntu jammy-security/restricted amd64 Packages [6995 kB]
#7 2.515 Get:8 http://archive.ubuntu.com/ubuntu jammy-backports InRelease [127 kB]
#7 2.737 Get:9 http://archive.ubuntu.com/ubuntu jammy/multiverse amd64 Packages [266 kB]
#7 2.986 Get:10 http://archive.ubuntu.com/ubuntu jammy/universe amd64 Packages [17.5 MB]
#7 3.964 Get:11 http://archive.ubuntu.com/ubuntu jammy/main amd64 Packages [1792 kB]
#7 4.117 Get:12 http://archive.ubuntu.com/ubuntu jammy/restricted amd64 Packages [164 kB]
#7 4.258 Get:13 http://archive.ubuntu.com/ubuntu jammy-updates/universe amd64 Packages [1601 kB]
#7 4.406 Get:14 http://archive.ubuntu.com/ubuntu jammy-updates/multiverse amd64 Packages [86.0 kB]
#7 4.546 Get:15 http://archive.ubuntu.com/ubuntu jammy-updates/main amd64 Packages [4245 kB]
#7 4.713 Get:16 http://archive.ubuntu.com/ubuntu jammy-updates/restricted amd64 Packages [7245 kB]
#7 4.905 Get:17 http://archive.ubuntu.com/ubuntu jammy-backports/main amd64 Packages [82.8 kB]
#7 5.045 Get:18 http://archive.ubuntu.com/ubuntu jammy-backports/universe amd64 Packages [35.6 kB]
#7 5.784 Fetched 45.9 MB in 5s (9810 kB/s)
#7 5.784 Reading package lists...
#7 7.328 Reading package lists...
#7 8.790 Building dependency tree...
#7 9.039 Reading state information...
#7 9.287 The following additional packages will be installed:
