Error from docker build

#1 [internal] load .dockerignore
#1 transferring context: 2B done
#1 DONE 0.0s

#2 [internal] load build definition from Dockerfile
#2 transferring dockerfile: 1.09kB done
#2 DONE 0.0s

#3 [internal] load metadata for docker.io/library/ubuntu:24.04
#3 DONE 0.1s

#4 [ 1/10] FROM docker.io/library/ubuntu:24.04@sha256:c4a8d5503dfb2a3eb8ab5f807da5bc69a85730fb49b5cfca2330194ebcc41c7b
#4 CACHED

#5 [internal] load build context
#5 transferring context: 668.81kB 0.4s done
#5 DONE 0.4s

#6 [2/6] RUN apt-get update && apt-get install -y     openjdk-21-jdk     maven     wget     && rm -rf /var/lib/apt/lists/*
#6 0.650 Get:1 http://archive.ubuntu.com/ubuntu noble InRelease [256 kB]
#6 0.841 Get:2 http://security.ubuntu.com/ubuntu noble-security InRelease [126 kB]
#6 1.057 Get:3 http://archive.ubuntu.com/ubuntu noble-updates InRelease [126 kB]
#6 1.221 Get:4 http://archive.ubuntu.com/ubuntu noble-backports InRelease [126 kB]
#6 1.331 Get:5 http://archive.ubuntu.com/ubuntu noble/multiverse amd64 Packages [331 kB]
#6 1.416 Get:6 http://archive.ubuntu.com/ubuntu noble/main amd64 Packages [1808 kB]
#6 1.657 Get:7 http://archive.ubuntu.com/ubuntu noble/universe amd64 Packages [19.3 MB]
#6 1.712 Get:8 http://security.ubuntu.com/ubuntu noble-security/universe amd64 Packages [1498 kB]
#6 2.136 Get:9 http://archive.ubuntu.com/ubuntu noble/restricted amd64 Packages [117 kB]
#6 2.137 Get:10 http://archive.ubuntu.com/ubuntu noble-updates/universe amd64 Packages [2142 kB]
#6 2.192 Get:11 http://archive.ubuntu.com/ubuntu noble-updates/multiverse amd64 Packages [54.1 kB]
#6 2.193 Get:12 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 Packages [2386 kB]
#6 2.243 Get:13 http://archive.ubuntu.com/ubuntu noble-updates/restricted amd64 Packages [3788 kB]
#6 2.338 Get:14 http://archive.ubuntu.com/ubuntu noble-backports/multiverse amd64 Packages [671 B]
#6 2.338 Get:15 http://archive.ubuntu.com/ubuntu noble-backports/main amd64 Packages [77.8 kB]
#6 2.340 Get:16 http://archive.ubuntu.com/ubuntu noble-backports/universe amd64 Packages [39.9 kB]
#6 2.570 Get:17 http://security.ubuntu.com/ubuntu noble-security/multiverse amd64 Packages [34.2 kB]
#6 2.572 Get:18 http://security.ubuntu.com/ubuntu noble-security/main amd64 Packages [1986 kB]
#6 2.776 Get:19 http://security.ubuntu.com/ubuntu noble-security/restricted amd64 Packages [3491 kB]
#6 3.818 Fetched 37.7 MB in 3s (10.9 MB/s)
#6 3.818 Reading package lists...
#6 4.915 Reading package lists...
#6 6.060 Building dependency tree...
#6 6.241 Reading state information...
#6 6.443 The following additional packages will be installed:
#6 6.443   adduser adwaita-icon-theme alsa-topology-conf alsa-ucm-conf at-spi2-common
#6 6.443   at-spi2-core ca-certificates ca-certificates-java dbus dbus-bin dbus-daemon
