Error from docker build

#1 [ 1/10] FROM docker.io/library/ubuntu:22.04
#1 CACHED

#2 [internal] load .dockerignore
#2 transferring context: 2B done
#2 DONE 0.0s

#3 [internal] load build definition from Dockerfile
#3 transferring dockerfile: 1.02kB done
#3 DONE 0.0s

#4 [internal] load metadata for docker.io/library/ubuntu:22.04
#4 DONE 0.0s

#5 [2/8] RUN apt-get update && apt-get install -y tzdata && ln -fs /usr/share/zoneinfo/UTC /etc/localtime && dpkg-reconfigure --frontend noninteractive tzdata
#5 CACHED

#6 [internal] load build context
#6 transferring context: 955.50kB 0.4s done
#6 DONE 0.4s

#7 [3/8] RUN apt-get update && apt-get install -y     git     curl     wget     unzip     maven     gnupg  # Add gnupg to handle keys
#7 0.605 Hit:1 http://archive.ubuntu.com/ubuntu jammy InRelease
#7 0.605 Hit:2 http://security.ubuntu.com/ubuntu jammy-security InRelease
#7 0.740 Hit:3 http://archive.ubuntu.com/ubuntu jammy-updates InRelease
#7 0.889 Hit:4 http://archive.ubuntu.com/ubuntu jammy-backports InRelease
#7 1.259 Reading package lists...
#7 2.613 Reading package lists...
#7 3.749 Building dependency tree...
#7 3.940 Reading state information...
#7 4.127 The following additional packages will be installed:
#7 4.127   alsa-topology-conf alsa-ucm-conf ca-certificates ca-certificates-java dbus
#7 4.127   default-jre-headless dirmngr fontconfig-config fonts-dejavu-core git-man
#7 4.127   gnupg-l10n gnupg-utils gpg gpg-agent gpg-wks-client gpg-wks-server gpgconf
#7 4.127   gpgsm java-common less libaopalliance-java libapache-pom-java libapparmor1
#7 4.127   libasound2 libasound2-data libassuan0 libatinject-jsr330-api-java
#7 4.127   libavahi-client3 libavahi-common-data libavahi-common3 libbrotli1 libbsd0
#7 4.127   libcbor0.8 libcdi-api-java libcommons-cli-java libcommons-io-java
#7 4.127   libcommons-lang3-java libcommons-parent-java libcups2 libcurl3-gnutls
#7 4.127   libcurl4 libdbus-1-3 libedit2 liberror-perl libexpat1 libfido2-1
#7 4.127   libfontconfig1 libfreetype6 libgdbm-compat4 libgdbm6
#7 4.127   libgeronimo-annotation-1.3-spec-java libgeronimo-interceptor-3.0-spec-java
#7 4.127   libglib2.0-0 libglib2.0-data libgraphite2-3 libguava-java libguice-java
