Error from docker build

#1 [internal] load .dockerignore
#1 transferring context: 2B done
#1 DONE 0.0s

#2 [internal] load build definition from Dockerfile
#2 transferring dockerfile: 1.17kB done
#2 DONE 0.0s

#3 [internal] load metadata for docker.io/library/ubuntu:24.04
#3 DONE 0.3s

#4 [1/8] FROM docker.io/library/ubuntu:24.04@sha256:c4a8d5503dfb2a3eb8ab5f807da5bc69a85730fb49b5cfca2330194ebcc41c7b
#4 DONE 0.0s

#5 [2/8] RUN ln -snf /usr/share/zoneinfo/America/Los_Angeles /etc/localtime && echo America/Los_Angeles > /etc/timezone
#5 CACHED

#6 [internal] load build context
#6 transferring context: 445B done
#6 DONE 0.0s

#7 [3/8] RUN apt-get update && apt-get install -y --no-install-recommends     software-properties-common     && add-apt-repository -y ppa:deadsnakes/ppa     && apt-get update && apt-get install -y --no-install-recommends     git     build-essential     python3.11     python3.11-venv     python3.11-dev     python3.11-distutils     python3-pip     libgmp-dev     libmpfr-dev     curl     wget     && rm -rf /var/lib/apt/lists/*
#7 0.616 Get:1 http://archive.ubuntu.com/ubuntu noble InRelease [256 kB]
#7 0.741 Get:2 http://security.ubuntu.com/ubuntu noble-security InRelease [126 kB]
#7 1.041 Get:3 http://archive.ubuntu.com/ubuntu noble-updates InRelease [126 kB]
#7 1.142 Get:4 http://archive.ubuntu.com/ubuntu noble-backports InRelease [126 kB]
#7 1.245 Get:5 http://archive.ubuntu.com/ubuntu noble/universe amd64 Packages [19.3 MB]
#7 1.515 Get:6 http://security.ubuntu.com/ubuntu noble-security/main amd64 Packages [1981 kB]
#7 1.943 Get:7 http://archive.ubuntu.com/ubuntu noble/main amd64 Packages [1808 kB]
#7 1.987 Get:8 http://archive.ubuntu.com/ubuntu noble/multiverse amd64 Packages [331 kB]
#7 1.991 Get:9 http://archive.ubuntu.com/ubuntu noble/restricted amd64 Packages [117 kB]
#7 2.018 Get:10 http://archive.ubuntu.com/ubuntu noble-updates/universe amd64 Packages [2142 kB]
#7 2.055 Get:11 http://archive.ubuntu.com/ubuntu noble-updates/restricted amd64 Packages [3658 kB]
#7 2.135 Get:12 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 Packages [2354 kB]
#7 2.198 Get:13 http://archive.ubuntu.com/ubuntu noble-updates/multiverse amd64 Packages [38.0 kB]
#7 2.200 Get:14 http://archive.ubuntu.com/ubuntu noble-backports/multiverse amd64 Packages [671 B]
#7 2.200 Get:15 http://archive.ubuntu.com/ubuntu noble-backports/main amd64 Packages [49.0 kB]
#7 2.201 Get:16 http://archive.ubuntu.com/ubuntu noble-backports/universe amd64 Packages [35.6 kB]
#7 2.245 Get:17 http://security.ubuntu.com/ubuntu noble-security/restricted amd64 Packages [3479 kB]
#7 2.446 Get:18 http://security.ubuntu.com/ubuntu noble-security/universe amd64 Packages [1498 kB]
#7 2.508 Get:19 http://security.ubuntu.com/ubuntu noble-security/multiverse amd64 Packages [34.2 kB]
