fatal: destination path '/app' already exists and is not an empty directory.
    Updating crates.io index
     Locking 90 packages to latest compatible versions
 Downloading crates ...
  Downloaded cfg-if v1.0.4
  Downloaded env_filter v1.0.1
  Downloaded env_logger v0.11.10
  Downloaded num-integer v0.1.46
  Downloaded bytemuck v1.25.0
  Downloaded quote v1.0.45
  Downloaded paste v1.0.15
  Downloaded approx v0.5.1
  Downloaded quickcheck_macros v1.2.0
  Downloaded memchr v2.8.0
  Downloaded glam v0.22.0
  Downloaded ndarray v0.17.2
  Downloaded wide v0.7.33
  Downloaded unicode-ident v1.0.24
  Downloaded quickcheck v1.1.0
  Downloaded num-bigint v0.4.6
  Downloaded glam v0.14.0
  Downloaded glam v0.19.0
  Downloaded libc v0.2.184
  Downloaded syn v2.0.117
  Downloaded log v0.4.29
  Downloaded simba v0.9.1
  Downloaded num-traits v0.2.19
  Downloaded glam v0.28.0
  Downloaded proc-macro2 v1.0.106
  Downloaded typenum v1.19.0
  Downloaded glam v0.32.1
  Downloaded regex v1.12.3
  Downloaded rand v0.10.0
  Downloaded glam v0.21.3
  Downloaded glam v0.25.0
  Downloaded glam v0.23.0
  Downloaded regex-syntax v0.8.10
  Downloaded num-rational v0.4.2
  Downloaded glam v0.24.2
  Downloaded glam v0.30.10
  Downloaded glam v0.29.3
  Downloaded matrixmultiply v0.3.10
  Downloaded glam v0.15.2
  Downloaded getrandom v0.4.2
  Downloaded regex-automata v0.4.14
  Downloaded rawpointer v0.2.1
  Downloaded rand_core v0.10.0
  Downloaded glam v0.20.5
  Downloaded num-complex v0.4.6
  Downloaded nalgebra-macros v0.3.0
  Downloaded safe_arch v0.7.4
  Downloaded glam v0.27.0
  Downloaded glam v0.18.0
  Downloaded glam v0.17.3
  Downloaded glam v0.16.0
  Downloaded aho-corasick v1.1.4
  Downloaded chacha20 v0.10.0
  Downloaded cpufeatures v0.3.0
  Downloaded autocfg v1.5.0
  Downloaded nalgebra v0.34.2
  Downloaded glam v0.31.1
   Compiling autocfg v1.5.0
   Compiling proc-macro2 v1.0.106
   Compiling quote v1.0.45
   Compiling unicode-ident v1.0.24
   Compiling libc v0.2.184
   Compiling memchr v2.8.0
   Compiling cfg-if v1.0.4
   Compiling regex-syntax v0.8.10
   Compiling rand_core v0.10.0
   Compiling paste v1.0.15
   Compiling getrandom v0.4.2
   Compiling bytemuck v1.25.0
   Compiling cpufeatures v0.3.0
   Compiling typenum v1.19.0
   Compiling rawpointer v0.2.1
   Compiling log v0.4.29
   Compiling chacha20 v0.10.0
   Compiling safe_arch v0.7.4
   Compiling num-traits v0.2.19
   Compiling matrixmultiply v0.3.10
   Compiling aho-corasick v1.1.4
   Compiling wide v0.7.33
   Compiling syn v2.0.117
   Compiling num-integer v0.1.46
   Compiling num-complex v0.4.6
   Compiling approx v0.5.1
   Compiling rand v0.10.0
   Compiling num-rational v0.4.2
   Compiling num-bigint v0.4.6
   Compiling regex-automata v0.4.14
   Compiling ndarray v0.17.2
   Compiling simba v0.9.1
   Compiling nalgebra-macros v0.3.0
   Compiling quickcheck_macros v1.2.0
   Compiling regex v1.12.3
   Compiling env_filter v1.0.1
   Compiling env_logger v0.11.10
   Compiling quickcheck v1.1.0
   Compiling nalgebra v0.34.2
   Compiling the_algorithms_rust v0.1.0 (/app)
    Finished `test` profile [unoptimized + debuginfo] target(s) in 26.20s
     Running unittests src/lib.rs (target/debug/deps/the_algorithms_rust-f8199ee12ccf1ade)
error: Unrecognized option: 'continue-on-error'
error: test failed, to rerun pass `--lib`
