Error from docker build

#1 [internal] load build definition from Dockerfile
#1 transferring dockerfile: 813B done
#1 DONE 0.0s

#2 [internal] load .dockerignore
#2 transferring context: 2B done
#2 DONE 0.0s

#3 [internal] load metadata for docker.io/library/ubuntu:latest
#3 DONE 0.1s

#4 [1/9] FROM docker.io/library/ubuntu:latest@sha256:c4a8d5503dfb2a3eb8ab5f807da5bc69a85730fb49b5cfca2330194ebcc41c7b
#4 DONE 0.0s

#5 [2/9] RUN ln -snf /usr/share/zoneinfo/America/Los_Angeles /etc/localtime && echo America/Los_Angeles > /etc/timezone
#5 CACHED

#6 [internal] load build context
#6 transferring context: 199.35MB 1.9s done
#6 DONE 2.0s

#7 [3/9] RUN apt-get update &&     apt-get install -y --no-install-recommends     liblzma-dev     git     curl     && rm -rf /var/lib/apt/lists/*
#0 0.456 Get:1 http://security.ubuntu.com/ubuntu noble-security InRelease [126 kB]
#0 0.591 Get:2 http://archive.ubuntu.com/ubuntu noble InRelease [256 kB]
#0 0.892 Get:3 http://security.ubuntu.com/ubuntu noble-security/main amd64 Packages [1981 kB]
#0 0.987 Get:4 http://archive.ubuntu.com/ubuntu noble-updates InRelease [126 kB]
#0 1.086 Get:5 http://archive.ubuntu.com/ubuntu noble-backports InRelease [126 kB]
#0 1.254 Get:6 http://archive.ubuntu.com/ubuntu noble/universe amd64 Packages [19.3 MB]
#0 1.285 Get:7 http://security.ubuntu.com/ubuntu noble-security/multiverse amd64 Packages [34.2 kB]
#0 1.285 Get:8 http://security.ubuntu.com/ubuntu noble-security/universe amd64 Packages [1498 kB]
#0 1.322 Get:9 http://security.ubuntu.com/ubuntu noble-security/restricted amd64 Packages [3479 kB]
#0 1.912 Get:10 http://archive.ubuntu.com/ubuntu noble/main amd64 Packages [1808 kB]
#0 1.954 Get:11 http://archive.ubuntu.com/ubuntu noble/multiverse amd64 Packages [331 kB]
#0 1.961 Get:12 http://archive.ubuntu.com/ubuntu noble/restricted amd64 Packages [117 kB]
#0 1.964 Get:13 http://archive.ubuntu.com/ubuntu noble-updates/universe amd64 Packages [2141 kB]
#0 2.014 Get:14 http://archive.ubuntu.com/ubuntu noble-updates/restricted amd64 Packages [3658 kB]
#7 2.099 Get:15 http://archive.ubuntu.com/ubuntu noble-updates/multiverse amd64 Packages [38.0 kB]
#7 2.100 Get:16 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 Packages [2354 kB]
#7 2.154 Get:17 http://archive.ubuntu.com/ubuntu noble-backports/multiverse amd64 Packages [671 B]
#7 2.154 Get:18 http://archive.ubuntu.com/ubuntu noble-backports/universe amd64 Packages [35.6 kB]
#7 2.155 Get:19 http://archive.ubuntu.com/ubuntu noble-backports/main amd64 Packages [49.0 kB]
#7 3.280 Fetched 37.5 MB in 3s (12.6 MB/s)
#7 3.280 Reading package lists...
#7 4.421 Reading package lists...
#7 5.535 Building dependency tree...
#7 5.706 Reading state information...
#7 5.891 The following additional packages will be installed:
#7 5.891   git-man libbrotli1 libcurl3t64-gnutls libcurl4t64 liberror-perl libexpat1
#7 5.891   libgdbm-compat4t64 libgdbm6t64 libgssapi-krb5-2 libk5crypto3 libkeyutils1
#7 5.891   libkrb5-3 libkrb5support0 libldap2 libnghttp2-14 libperl5.38t64 libpsl5t64
#7 5.892   librtmp1 libsasl2-2 libsasl2-modules-db libssh-4 perl perl-modules-5.38
#7 5.893 Suggested packages:
#7 5.893   gettext-base git-daemon-run | git-daemon-sysvinit git-doc git-email git-gui
#7 5.893   gitk gitweb git-cvs git-mediawiki git-svn gdbm-l10n krb5-doc krb5-user
#7 5.893   liblzma-doc perl-doc libterm-readline-gnu-perl | libterm-readline-perl-perl
#7 5.893   make libtap-harness-archive-perl
#7 5.893 Recommended packages:
#7 5.893   ca-certificates patch less ssh-client krb5-locales libldap-common
#7 5.893   publicsuffix libsasl2-modules netbase
#7 5.962 The following NEW packages will be installed:
#7 5.962   curl git git-man libbrotli1 libcurl3t64-gnutls libcurl4t64 liberror-perl
#7 5.962   libexpat1 libgdbm-compat4t64 libgdbm6t64 libgssapi-krb5-2 libk5crypto3
#7 5.963   libkeyutils1 libkrb5-3 libkrb5support0 libldap2 liblzma-dev libnghttp2-14
#7 5.963   libperl5.38t64 libpsl5t64 librtmp1 libsasl2-2 libsasl2-modules-db libssh-4
#7 5.964   perl perl-modules-5.38
#7 6.330 0 upgraded, 26 newly installed, 0 to remove and 1 not upgraded.
#7 6.330 Need to get 15.8 MB of archives.
#7 6.330 After this operation, 83.1 MB of additional disk space will be used.
#7 6.330 Get:1 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 perl-modules-5.38 all 5.38.2-3.2ubuntu0.2 [3110 kB]
#7 7.870 Get:2 http://archive.ubuntu.com/ubuntu noble/main amd64 libgdbm6t64 amd64 1.23-5.1build1 [34.4 kB]
